name,team,total_score,difficulty,class
Naya Narciso,Notre Dame de Sion,418.4011,22.6,1
Journey Wildschuetz,Central (Springfield),404.2511,22.3,1
Stella Henderson,Notre Dame de Sion,379.7511,21.0,1
Clara Hugge,Visitation Academy,369.2011,20.1,1
Ella Ball,Father Tolton,361.8011,21.2,1
Hayden Duffy,Visitation Academy,349.4511,20.7,1
Gabriella Pupillo,Parkway West,334.1511,20.2,1
Evelyn Behrens,Lincoln College Prep,332.3511,21.0,1
Eloise Sweeny,St. Teresa's Academy,330.8511,20.2,1
Grace Gunter,St. Teresa's Academy,326.6011,20.8,1
Brooke Sobba,Notre Dame de Sion,316.6511,20.2,1
Ellen Widjaja,Ladue Horton Watkins,315.1511,19.5,1
Savannah Richards,Lutheran St. Charles,312.5511,17.6,1
Larren Boomer,St. Teresa's Academy,309.9511,20.1,1
Adriana Morrison,St. Teresa's Academy,306.5511,20.4,1
Lucy Langford,Lincoln College Prep,301.2011,18.5,1
Addison Branch,Monett,299.3011,18.2,1
Kendall Bowen,St. Teresa's Academy,291.6011,20.7,1
Isabel Pico,Parkway West,290.5011,17.1,1
Madison Kosinski,Monett,289.8011,17.8,1
Reileigh Simons,Smith-Cotton,285.3011,20.7,1
Grace Travers,Ursuline Academy,279.4511,19.7,1
Elizabeth Kesterson,Father Tolton,275.9011,18.2,1
Mira Gupta,Barstow,272.0011,19.7,1
Emily Ritter,West Plains,271.1511,17.6,1
Marlee Cooper,Parkway Central,271.0511,18.4,1
Janie Becker,North Point,270.8511,17.5,1
Lola O'Brien,Parkway Central,270.5011,17.5,1
Chloe Sheridan,Central (Cape Girardeau),268.5011,17.9,1
Natalie Bruins,Parkway Central,268.1511,18.9,1
Mia Dean,Glendale,267.7011,17.5,1
Thais Thompson,Platte County,267.6011,18.2,1
Lydia DeRienzo,Parkway Central,262.9011,18.2,1
Allison Luetje,Barstow,261.2011,20.0,1
Jazzy Puffpaff,Glendale,260.9011,18.6,1
Niyumi Rajapaksha,Ladue Horton Watkins,259.0011,17.9,1
Lynn Cotrell,Poplar Bluff,258.6511,17.2,1
Zionah Johnson,Poplar Bluff,253.7511,17.4,1
Eiley Minich,Parkway West,246.206,12.8,1
Samantha Walden,Ft. Zumwalt East,208.206,12.6,1
Allison Williamson,Poplar Bluff,204.506,12.5,1
