name,team,event,best_time,seed_rank,is_relay
St. Joseph's Aca,St. Joseph's Aca,200 Medley Relay,106.57,1,True
Park Hill South,Park Hill South,200 Medley Relay,108.32,2,True
Rock Bridge,Rock Bridge,200 Medley Relay,108.68,3,True
Kirkwood,Kirkwood,200 Medley Relay,110.84,4,True
Westminster Chri,Westminster Chri,200 Medley Relay,112.21,5,True
Liberty,Liberty,200 Medley Relay,113.05,6,True
Lafayette (Wildw,Lafayette (Wildw,200 Medley Relay,113.84,7,True
Staley,Staley,200 Medley Relay,114.49,8,True
Marquette,Marquette,200 Medley Relay,114.59,9,True
Lee's Summit Nor,Lee's Summit Nor,200 Medley Relay,114.9,10,True
Parkway South,Parkway South,200 Medley Relay,115.01,11,True
Cor Jesu Academy,Cor Jesu Academy,200 Medley Relay,115.3,12,True
Blue Springs Sou,Blue Springs Sou,200 Medley Relay,115.7,13,True
MICDS,MICDS,200 Medley Relay,117.15,14,True
Hickman,Hickman,200 Medley Relay,117.25,15,True
Francis Howell,Francis Howell,200 Medley Relay,117.29,16,True
Lee's Summit,Lee's Summit,200 Medley Relay,117.35,17,True
Lee's Summit Wes,Lee's Summit Wes,200 Medley Relay,117.36,18,True
Pembroke Hill,Pembroke Hill,200 Medley Relay,117.53,19,True
Ft. Zumwalt Nort,Ft. Zumwalt Nort,200 Medley Relay,117.73,20,True
Lindbergh,Lindbergh,200 Medley Relay,118.83,21,True
Jackson,Jackson,200 Medley Relay,119.56,22,True
Francis Howell C,Francis Howell C,200 Medley Relay,119.6,23,True
Carthage,Carthage,200 Medley Relay,120.42,24,True
Liberty (Wentzvi,Liberty (Wentzvi,200 Medley Relay,120.62,25,True
Republic,Republic,200 Medley Relay,121.6,26,True
Eureka,Eureka,200 Medley Relay,121.76,27,True
Liberty North,Liberty North,200 Medley Relay,122.01,28,True
Park Hill,Park Hill,200 Medley Relay,123.12,29,True
Blue Springs,Blue Springs,200 Medley Relay,124.14,30,True
Nixa,Nixa,200 Medley Relay,125.38,31,True
Pattonville,Pattonville,200 Medley Relay,125.73,32,True
Helena Tietjen,Pembroke Hill,200 Free,108.61,1,False
Anna-Grace Guenther,St. Joseph's Aca,200 Free,111.91,2,False
Jenna Ridings,Pattonville,200 Free,114.53,3,False
Paige Samuelson,Eureka,200 Free,115.79,4,False
Amelia Coy,Hickman,200 Free,116.55,5,False
Lynlee Lavalle,Jackson,200 Free,116.66,6,False
Brooke Nichols,Park Hill South,200 Free,118.14,7,False
Claire Dierker,Park Hill South,200 Free,119.98,8,False
Marlowe Weis,Rock Bridge,200 Free,120.17,9,False
Erin Jones,St. Joseph's Aca,200 Free,120.53,10,False
Prairey Maxwell,Kirkwood,200 Free,120.8,11,False
Teagan Mitchell,Staley,200 Free,120.98,12,False
Anja Taylor,Rock Bridge,200 Free,121.12,13,False
Cecilia Hoganson,Kirkwood,200 Free,121.36,14,False
Olivia Kimball,Staley,200 Free,121.84,15,False
Delaney Mehl,Liberty,200 Free,122.24,16,False
Ava Brown,Republic,200 Free,122.55,17,False
Alivia Cook,Parkway South,200 Free,122.56,18,False
Allison Brent,St. Joseph's Aca,200 Free,123.03,19,False
Lauren Otte,Liberty North,200 Free,123.09,20,False
Lucille Werner,Kirkwood,200 Free,123.62,21,False
Audrey Brown,Westminster Chri,200 Free,123.88,22,False
Isabel Kosiara,Rock Bridge,200 Free,125.02,23,False
Ashley Searls,Liberty,200 Free,125.03,24,False
Vanessa VanHoesen,Blue Springs,200 Free,125.04,25,False
Natalie Lorber,Marquette,200 Free,125.05,26,False
Shae Mortimer,Liberty,200 Free,125.17,27,False
Madeline Bartsch,Staley,200 Free,125.24,28,False
Audrey Tuschhoff,Jackson,200 Free,126.13,29,False
Chloe Johnson,Staley,200 Free,126.34,30,False
Ella Marcum,Eureka,200 Free,126.48,31,False
Olivia Seiler,Kickapoo,200 Free,126.74,32,False
Avery Hogue,Park Hill South,200 IM,125.6,1,False
Madison Shryock,Rock Bridge,200 IM,127.78,2,False
Sarah Miner,Rock Bridge,200 IM,128.92,3,False
Elizabeth Landuyt,Park Hill South,200 IM,129.36,4,False
Payton Robic,St. Joseph's Aca,200 IM,130.96,5,False
Abigail Sanning,Lee's Summit,200 IM,131.36,6,False
Izy Chalfant,Kirkwood,200 IM,131.92,7,False
Vienna Schindler,St. Joseph's Aca,200 IM,133.47,8,False
Avree Melhus,Liberty North,200 IM,133.51,9,False
Luci Cordes-Palmer,Lafayette (Wildw,200 IM,134.07,10,False
Addison Murray,Pembroke Hill,200 IM,136.03,11,False
Addison Woody,Lee's Summit Wes,200 IM,136.21,12,False
Kayla Wahl,Cor Jesu Academy,200 IM,136.83,13,False
